lon,lat,alt,distr
-104.3812919,22.32837785,1406,curr
-104.1652655,19.25730367,477,curr
-104.1107528,21.94128231,1808,curr
-104.1026887,20.78461215,1433,curr
-104.0522228,21.2553894,1250,curr
-103.7991146,20.75567286,1914,curr
-103.7749721,21.14091725,1283,curr
-103.7737234,20.55115912,1551,curr
-103.7163853,20.34609059,1389,curr
-103.597047,19.69260451,2034,curr
-103.5831204,19.11688959,459,curr
-103.3947863,20.00976624,1937,curr
-103.3263892,19.21945518,1198,curr
-103.1770895,19.37143774,1648,curr
-103.093958,19.52719439,1317,curr
-102.9615753,19.04550918,484,curr
-102.8522304,18.41078478,1255,curr
-102.7520057,18.80818976,978,curr
-102.6542046,18.3910524,1346,curr
-102.4878697,18.98448279,222,curr
-102.4405956,18.53386786,1117,curr
-102.3092794,18.97338636,255,curr
-102.2537324,18.38068323,787,curr
-102.2529155,18.76604082,261,curr
-102.0332637,18.10765731,315,curr
-101.9661401,18.23213233,79,curr
-101.7295303,18.13240343,379,curr
-101.6294465,18.8476265,629,curr
-101.5305971,18.52241583,313,curr
-101.4587047,17.91703234,823,curr
-101.4324728,17.72618493,264,curr
-100.9736087,25.1583335,2487,curr
-100.8952586,24.94669887,2230,curr
-100.617465,18.12110227,738,curr
-100.616853,25.24802814,2093,curr
-100.6014803,25.59909635,1533,curr
-100.5926143,18.11932702,435,curr
-100.4946548,25.20059556,2267,curr
-100.4530819,18.79459195,589,curr
-100.136091,18.78546951,1022,curr
-100.0818646,18.79416518,1396,curr
-99.95911886,23.94504667,2638,curr
-99.77950557,21.38273926,1496,curr
-99.77263802,24.18933692,1392,curr
-99.72686116,23.82064146,2708,curr
-99.60384584,24.3595689,591,curr
-99.52789551,21.71616286,1031,curr
-99.17845778,21.25264836,1632,curr
-98.89404875,16.66384874,147,curr
-98.49718637,23.53503613,422,curr
-97.10488362,18.89476742,1363,curr
-97.07710076,19.4375464,2042,curr
-96.85743846,19.85044478,924,curr
-96.78584595,18.92638696,652,curr
-96.65256896,18.43680718,230,curr
